City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2022-11-17 01:29:22,-9.8,-139.0333,78.21,76,1,14.12
1,Faanui,PF,2022-11-17 01:29:22,-16.4833,-151.75,79.48,72,86,1.68
2,Baykit,RU,2022-11-17 01:29:22,61.67,96.37,-11.69,99,77,4.0
3,Busselton,AU,2022-11-17 01:29:23,-33.65,115.3333,59.9,70,98,19.35
4,Torbay,CA,2022-11-17 01:29:23,47.6666,-52.7314,33.58,79,100,5.75
5,Tiznit,MA,2022-11-17 01:29:23,29.5833,-9.5,62.82,29,19,2.1
6,Castro,BR,2022-11-17 01:29:23,-24.7911,-50.0119,56.77,86,0,6.24
7,Bluff,NZ,2022-11-17 01:29:24,-46.6,168.3333,58.8,87,100,12.66
8,Nikolskoye,RU,2022-11-17 01:29:24,59.7035,30.7861,33.69,86,100,7.16
9,Kapaa,US,2022-11-17 01:29:24,22.0752,-159.319,80.58,67,75,11.5
10,New Norfolk,AU,2022-11-17 01:29:25,-42.7826,147.0587,59.72,51,100,1.99
11,Vaini,TO,2022-11-17 01:29:25,-21.2,-175.2,80.76,74,20,4.61
12,Kodiak,US,2022-11-17 01:29:25,57.79,-152.4072,44.11,93,100,18.41
13,Yelizovo,RU,2022-11-17 01:29:26,53.1873,158.3805,23.14,49,0,8.99
14,Ushuaia,AR,2022-11-17 01:29:26,-54.8,-68.3,51.46,54,75,4.61
15,Butaritari,KI,2022-11-17 01:29:26,3.0707,172.7902,81.18,73,20,17.58
16,Qaanaaq,GL,2022-11-17 01:29:26,77.484,-69.3632,-4.22,93,100,4.92
17,Albany,US,2022-11-17 01:29:19,42.6001,-73.9662,37.56,89,47,8.75
18,Mahebourg,MU,2022-11-17 01:25:30,-20.4081,57.7,70.09,78,40,3.44
19,Calabozo,VE,2022-11-17 01:29:27,8.9242,-67.4293,78.19,79,100,4.05
20,Victoria,HK,2022-11-17 01:29:27,22.2855,114.1577,78.96,81,74,11.01
21,Suntar,RU,2022-11-17 01:29:27,62.1444,117.6319,0.84,99,100,2.55
22,Ilulissat,GL,2022-11-17 01:29:28,69.2167,-51.1,15.82,73,100,6.91
23,Vila Franca Do Campo,PT,2022-11-17 01:29:28,37.7167,-25.4333,63.19,89,100,6.31
24,Punta Arenas,CL,2022-11-17 01:29:26,-53.15,-70.9167,50.11,66,0,6.91
25,Kavieng,PG,2022-11-17 01:29:28,-2.5744,150.7967,84.81,68,97,9.57
26,Hobyo,SO,2022-11-17 01:29:29,5.3505,48.5268,80.89,73,76,13.67
27,Quatre Cocos,MU,2022-11-17 01:29:29,-20.2078,57.7625,69.91,66,30,4.74
28,Saskylakh,RU,2022-11-17 01:29:29,71.9167,114.0833,-25.17,98,100,4.7
29,Tevaitoa,PF,2022-11-17 01:29:30,-16.7833,-151.5,79.45,73,100,2.71
30,Chokurdakh,RU,2022-11-17 01:29:30,70.6333,147.9167,-22.88,100,87,4.81
31,Bredasdorp,ZA,2022-11-17 01:29:30,-34.5322,20.0403,55.38,72,100,3.15
32,Lebu,CL,2022-11-17 01:25:24,-37.6167,-73.65,56.52,93,16,8.16
33,Mehamn,NO,2022-11-17 01:29:30,71.0357,27.8492,40.95,45,47,18.41
34,Olimpia,BR,2022-11-17 01:29:31,-20.7372,-48.9147,73.58,30,0,6.15
35,Port Elizabeth,ZA,2022-11-17 01:29:31,-33.918,25.5701,63.32,80,0,10.36
36,Toora-Khem,RU,2022-11-17 01:29:31,52.4675,96.11,12.7,92,100,2.42
37,Cape Town,ZA,2022-11-17 01:24:54,-33.9258,18.4232,61.27,71,0,13.8
38,Hobart,AU,2022-11-17 01:29:32,-42.8794,147.3294,60.06,70,75,13.8
39,Jamestown,US,2022-11-17 01:25:14,42.097,-79.2353,34.02,70,100,17.0
40,Glushkovo,RU,2022-11-17 01:29:32,51.3392,34.6328,29.91,96,100,12.17
41,Souillac,MU,2022-11-17 01:29:32,-20.5167,57.5167,70.18,78,40,3.44
42,Bethel,US,2022-11-17 01:25:33,41.3712,-73.414,42.76,75,0,5.75
43,Tikrit,IQ,2022-11-17 01:29:33,34.6071,43.6782,59.0,75,69,3.18
44,Puerto Ayora,EC,2022-11-17 01:25:29,-0.7393,-90.3518,70.56,90,100,5.99
45,Saint Anthony,US,2022-11-17 01:29:33,45.0205,-93.218,27.25,80,40,11.5
46,Los Llanos De Aridane,ES,2022-11-17 01:29:33,28.6585,-17.9182,69.12,27,0,8.99
47,Sao Filipe,CV,2022-11-17 01:30:34,14.8961,-24.4956,77.4,69,81,0.65
48,Halifax,CA,2022-11-17 01:25:43,44.6453,-63.5724,56.5,97,100,35.68
49,Vengerovo,RU,2022-11-17 01:30:34,55.6848,76.7471,11.93,92,100,7.34
50,Norman Wells,CA,2022-11-17 01:30:34,65.282,-126.8329,-0.36,85,40,0.0
51,Maniitsoq,GL,2022-11-17 01:30:35,65.4167,-52.9,18.61,68,100,4.47
52,Hithadhoo,MV,2022-11-17 01:30:35,-0.6,73.0833,80.85,77,100,10.74
53,Geraldton,AU,2022-11-17 01:30:35,-28.7667,114.6,61.21,82,75,11.5
54,East London,ZA,2022-11-17 01:30:11,-33.0153,27.9116,64.67,80,100,2.28
55,Nelson Bay,AU,2022-11-17 01:30:36,-32.7167,152.15,66.25,61,7,15.01
56,Upernavik,GL,2022-11-17 01:30:36,72.7868,-56.1549,11.62,93,99,13.87
57,Lagoa,PT,2022-11-17 01:30:36,39.05,-27.9833,61.61,66,100,21.9
58,Thunder Bay,CA,2022-11-17 01:28:09,48.4001,-89.3168,21.18,93,100,2.3
59,Rikitea,PF,2022-11-17 01:30:37,-23.1203,-134.9692,73.18,92,100,23.22
60,Sao Joao Da Barra,BR,2022-11-17 01:30:37,-21.6403,-41.0511,70.5,89,91,22.15
61,Walvis Bay,NA,2022-11-17 01:27:41,-22.9575,14.5053,60.1,88,0,12.66
62,Ilovlya,RU,2022-11-17 01:30:37,49.3033,43.9796,35.76,71,100,4.99
63,Yellowknife,CA,2022-11-17 01:26:09,62.456,-114.3525,1.92,92,75,2.3
64,Mataura,NZ,2022-11-17 01:29:25,-46.1927,168.8643,58.48,85,100,2.8
65,Tuktoyaktuk,CA,2022-11-17 01:30:38,69.4541,-133.0374,15.8,67,40,12.66
66,Labytnangi,RU,2022-11-17 01:30:38,66.6572,66.4183,5.16,86,24,7.65
67,Amapa,BR,2022-11-17 01:30:38,1.0,-52.0,70.97,77,90,2.64
68,Timra,SE,2022-11-17 01:30:38,62.487,17.3257,20.88,86,0,5.75
69,Guerrero Negro,MX,2022-11-17 01:30:39,27.9769,-114.0611,67.39,40,0,5.5
70,Avarua,CK,2022-11-17 01:30:39,-21.2078,-159.775,78.85,65,68,16.11
71,Burnie,AU,2022-11-17 01:30:36,-41.0667,145.9167,57.94,55,41,7.74
72,Hilo,US,2022-11-17 01:30:39,19.7297,-155.09,80.11,86,100,5.75
73,Kruisfontein,ZA,2022-11-17 01:30:40,-34.0033,24.7314,57.88,73,100,6.8
74,Bathsheba,BB,2022-11-17 01:30:40,13.2167,-59.5167,81.21,78,40,13.8
