City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Hirara,JP,80.46,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
Clarence Town,AU,68.61,overcast clouds,-32.5833,151.7833,River Downs Cottage
Nabire,ID,83.25,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
Negombo,LK,74.98,overcast clouds,7.2083,79.8358,Hotel Sunset Beach
Colinas,BR,75.72,broken clouds,-6.0258,-44.2492,Pousada do Nonatinho
Saint-Joseph,RE,66.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
Tartus,SY,65.26,few clouds,34.889,35.8866,سكن البنات (راية)
Bartica,GY,79.12,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
Cassilandia,BR,73.51,clear sky,-19.1133,-51.7342,Delirius Motel
San Lazaro,BZ,73.02,scattered clouds,18.0387,-88.6622, 
Tomatlan,MX,70.75,clear sky,19.9333,-105.25,El Salvial
Cap Malheureux,MU,68.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
Carmelo,UY,74.52,overcast clouds,-33.9892,-58.2856,Los Muelles Boutique Hotel
Batemans Bay,AU,65.1,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
Conakry,GN,81.59,overcast clouds,9.538,-13.6773,Riviera Royal Hotel
Kloulklubed,PW,79.3,light rain,7.0419,134.2556,Storyboard Beach Resort
Trincomalee,LK,78.46,overcast clouds,8.5711,81.2335,Welcombe Hotel
Vanimo,PG,84.13,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
Dondo,MZ,67.69,clear sky,-19.6094,34.7431,Pensao Casual
Kaura Namoda,NG,70.09,few clouds,12.5898,6.5779,Moonlight Hotel
Belmonte,BR,74.23,moderate rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
Birnin Kebbi,NG,72.28,clear sky,12.4539,4.1975,Saffar Guest Inn Ltd
Byron Bay,AU,74.95,clear sky,-28.65,153.6167,Backpackers Inn
Maun,BW,76.46,few clouds,-19.9833,23.4167,Enviro Villa
Santa Isabel Do Rio Negro,BR,72.75,overcast clouds,-0.4139,-65.0192,Hotel GSA
Pital,CO,67.23,overcast clouds,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
Broken Hill,AU,73.56,broken clouds,-31.95,141.4333,Royal Exchange Hotel
Kabanjahe,ID,69.57,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
Biak,ID,80.33,overcast clouds,-0.9131,122.8766,Penginapan Kim
Tukrah,LY,66.09,clear sky,32.5341,20.5791,Lagrota restaurant
Pemangkat,ID,78.66,moderate rain,1.1667,108.9667,Hotel Duyung Permai 2
Xuddur,SO,70.48,clear sky,4.1213,43.8894,Banjanay Hotel
Dakar,SN,77.88,scattered clouds,14.6937,-17.4441,Novotel Dakar
Yeppoon,AU,80.38,scattered clouds,-23.1333,150.7333,Villa Mar Colina
Eyl,SO,73.98,clear sky,7.9803,49.8164,EYL AQUE SYSTEM
Namatanai,PG,84.92,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
Karpathos,GR,67.96,scattered clouds,35.507,27.2132,Alex
Jizan,SA,77.94,clear sky,17.3333,42.6667,شهدان. ابوالحجر
Taoudenni,ML,71.26,clear sky,22.6783,-3.9836, 
Samarai,PG,85.87,broken clouds,-10.6167,150.6667,Nuli Sapi
Le Moule,GP,79.18,clear sky,16.3332,-61.3473,Lakaz Hananou
San,ML,73.22,few clouds,13.3034,-4.8956,Hôtel Teriya
Manokwari,ID,83.62,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
Itanhem,BR,70.29,overcast clouds,-17.1664,-40.33,Hotel Resende
Myitkyina,MM,65.91,clear sky,25.3833,97.4,Shwe Phyu Hotel
Richards Bay,ZA,70.99,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
Koumac,NC,81.43,clear sky,-20.5667,164.2833,Le Monitel
Kerema,PG,84.74,overcast clouds,-7.9631,145.7785,Frena Lodge
Shakawe,BW,73.78,scattered clouds,-18.3667,21.85,EdenWood Lodge
Sawakin,SD,82.35,clear sky,19.1059,37.3321,فندق الدويم
Kendari,ID,83.68,overcast clouds,-3.945,122.4989,Hotel Wixel
Chemax,MX,72.81,scattered clouds,20.65,-87.9333,"Hotel ""Don Roger"""
Solenzo,BF,71.53,few clouds,12.1833,-4.0833, 
Carutapera,BR,76.55,clear sky,-1.195,-46.02,Lidera
Nagarote,NI,82.08,clear sky,12.2659,-86.5647,Hospedaje Nagarote
Vao,NC,75.52,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
Dwarka,IN,77.49,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
Babu,CN,74.62,overcast clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
Ellisras,ZA,75.25,scattered clouds,-23.6649,27.7443,Lapa le le guesthouse
Pitimbu,BR,77.59,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
Lahaina,US,87.8,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
Buchanan,LR,76.98,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
Nata,PA,76.87,moderate rain,8.3333,-80.5167,Rey David
Neuquen,AR,76.89,scattered clouds,-38.9516,-68.0591,Hotel del Comahue
Masuguru,TZ,72.32,few clouds,-11.3667,38.4167, 
